participant,tissue,disease,module,expansion_bin,value,n_cells
U44,pBMC,UC,IgA mucosal,1,0.4811787687378323,212
U44,pBMC,UC,IgA mucosal,2,0.0,10
U44,pBMC,UC,IgG inflammatory,1,0.5618126872629103,212
U44,pBMC,UC,IgG inflammatory,2,0.25115695177871744,10
U44,pBMC,UC,Cycling B,1,0.0,212
U44,pBMC,UC,Cycling B,2,0.0,10
U45,R,UC,Plasma differentiation,1,3.325264264742858,337
U45,R,UC,Plasma differentiation,2,3.2508675936161917,56
U45,R,UC,Plasma differentiation,3–4,2.80595784624121,12
U45,R,UC,Antibody secretion/UPR,1,2.7606284216844537,337
U45,R,UC,Antibody secretion/UPR,2,2.7705929825097204,56
U45,R,UC,Antibody secretion/UPR,3–4,2.7498927410094396,12
U45,R,UC,IgA mucosal,1,2.8525877694124238,337
U45,R,UC,IgA mucosal,2,2.8352190727308866,56
U45,R,UC,IgA mucosal,3–4,2.09862017205507,12
U45,R,UC,IgG inflammatory,1,3.3229423530663853,337
U45,R,UC,IgG inflammatory,2,3.3159948055416524,56
U45,R,UC,IgG inflammatory,3–4,2.861830533221533,12
U45,R,UC,Cycling B,1,0.0,337
U45,R,UC,Cycling B,2,0.0,56
U45,R,UC,Cycling B,3–4,0.0,12
U45,pBMC,UC,Plasma differentiation,1,0.36017371915558966,413
U45,pBMC,UC,Plasma differentiation,2,0.3867413516853878,18
U45,pBMC,UC,Plasma differentiation,3–4,0.44880869609218577,6
U45,pBMC,UC,Antibody secretion/UPR,1,0.7418032984533193,413
U45,pBMC,UC,Antibody secretion/UPR,2,0.8135066265708576,18
U45,pBMC,UC,Antibody secretion/UPR,3–4,0.8526192109572996,6
U45,pBMC,UC,IgA mucosal,1,0.0,413
U45,pBMC,UC,IgA mucosal,2,0.0,18
U45,pBMC,UC,IgA mucosal,3–4,0.0,6
U45,pBMC,UC,IgG inflammatory,1,0.5157113736674022,413
U45,pBMC,UC,IgG inflammatory,2,0.21983099577052173,18
U45,pBMC,UC,IgG inflammatory,3–4,0.6128061854145458,6
U45,pBMC,UC,Cycling B,1,0.0,413
U45,pBMC,UC,Cycling B,2,0.0,18
U45,pBMC,UC,Cycling B,3–4,0.0,6
U4,R,UC,Plasma differentiation,1,3.348097853779321,262
U4,R,UC,Plasma differentiation,2,3.415824244232267,38
U4,R,UC,Plasma differentiation,3–4,3.3571338372034374,24
U4,R,UC,Antibody secretion/UPR,1,2.800268105199028,262
U4,R,UC,Antibody secretion/UPR,2,2.9108133640351115,38
U4,R,UC,Antibody secretion/UPR,3–4,2.5302192890365682,24
U4,R,UC,IgA mucosal,1,3.143066738713359,262
U4,R,UC,IgA mucosal,2,3.615558664122814,38
U4,R,UC,IgA mucosal,3–4,3.1057144048176584,24
U4,R,UC,IgG inflammatory,1,3.6744964189350013,262
U4,R,UC,IgG inflammatory,2,3.7164541386881313,38
U4,R,UC,IgG inflammatory,3–4,2.9611390790850654,24
U4,R,UC,Cycling B,1,0.0,262
U4,R,UC,Cycling B,2,0.0,38
U4,R,UC,Cycling B,3–4,0.0,24
U4,pBMC,UC,Plasma differentiation,1,0.36353692363073353,234
U4,pBMC,UC,Antibody secretion/UPR,1,1.0337108226119884,234
U4,pBMC,UC,IgA mucosal,1,0.0,234
U4,pBMC,UC,IgG inflammatory,1,0.5882239233046446,234
U4,pBMC,UC,Cycling B,1,0.0,234
U5,R,UC,Plasma differentiation,1,0.5010010992773428,689
U5,R,UC,Plasma differentiation,2,1.023407303501918,48
