roc_auc,balanced_accuracy,accuracy,brier,sensitivity,specificity,modality,task,outer_fold,n_test,best_params
0.7976190476190477,0.8095238095238095,0.8125,0.186120690862371,0.8333333333333334,0.7857142857142857,tcr,cd_vs_uc,12,32,"{""clf__C"": 1, ""select__percentile"": 25}"
0.854251012145749,0.7672064777327935,0.78125,0.16034998960055247,0.8421052631578947,0.6923076923076923,tcr,cd_vs_uc,13,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.9743589743589743,0.8952991452991452,0.9032258064516129,0.0775007879068098,0.9444444444444444,0.8461538461538461,tcr,cd_vs_uc,14,31,"{""clf__C"": 10, ""select__percentile"": 25}"
0.8888888888888888,0.7905982905982906,0.8064516129032258,0.14748146870292583,0.8888888888888888,0.6923076923076923,tcr,cd_vs_uc,15,31,"{""clf__C"": 10, ""select__percentile"": 25}"
0.9605263157894737,0.625,0.8695652173913043,0.12623789983622985,1.0,0.25,bcr,cd_vs_control,1,23,"{""clf__C"": 1, ""select__percentile"": 100}"
0.6777777777777777,0.5444444444444444,0.7391304347826086,0.21992953156840422,0.8888888888888888,0.2,bcr,cd_vs_control,2,23,"{""clf__C"": 10, ""select__percentile"": 25}"
0.8888888888888888,0.7,0.8695652173913043,0.12565383781869763,1.0,0.4,bcr,cd_vs_control,3,23,"{""clf__C"": 10, ""select__percentile"": 100}"
0.8777777777777778,0.6,0.8260869565217391,0.1745258327782261,1.0,0.2,bcr,cd_vs_control,4,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.7,0.5,0.782608695652174,0.21490984927998003,1.0,0.0,bcr,cd_vs_control,5,23,"{""clf__C"": 10, ""select__percentile"": 100}"
0.9078947368421053,0.625,0.8695652173913043,0.12674424385658437,1.0,0.25,bcr,cd_vs_control,6,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.8777777777777778,0.6,0.8260869565217391,0.1402153823203583,1.0,0.2,bcr,cd_vs_control,7,23,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.8,0.6,0.8260869565217391,0.1572866029475831,1.0,0.2,bcr,cd_vs_control,8,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.7555555555555555,0.4722222222222222,0.7391304347826086,0.20675655200433268,0.9444444444444444,0.0,bcr,cd_vs_control,9,23,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.7777777777777778,0.7,0.8695652173913043,0.13808445851406226,1.0,0.4,bcr,cd_vs_control,10,23,"{""clf__C"": 1, ""select__percentile"": 100}"
0.8552631578947368,0.5,0.8260869565217391,0.16668174460218846,1.0,0.0,bcr,cd_vs_control,11,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.8444444444444443,0.5,0.782608695652174,0.20994636981555861,1.0,0.0,bcr,cd_vs_control,12,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.8,0.6,0.8260869565217391,0.17467443643792818,1.0,0.2,bcr,cd_vs_control,13,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.8777777777777778,0.8,0.9130434782608695,0.09637417639024638,1.0,0.6,bcr,cd_vs_control,14,23,"{""clf__C"": 10, ""select__percentile"": 100}"
0.7777777777777777,0.7,0.8695652173913043,0.13046675161855784,1.0,0.4,bcr,cd_vs_control,15,23,"{""clf__C"": 10, ""select__percentile"": 100}"
0.8,0.5,0.7368421052631579,0.263157787896228,1.0,0.0,bcr,uc_vs_control,1,19,"{""clf__C"": 10, ""select__percentile"": 100}"
0.7857142857142857,0.5,0.7777777777777778,0.22222218595651494,1.0,0.0,bcr,uc_vs_control,2,18,"{""clf__C"": 1, ""select__percentile"": 100}"
1.0,0.7,0.8333333333333334,0.17381545037086057,1.0,0.4,bcr,uc_vs_control,3,18,"{""clf__C"": 10, ""select__percentile"": 100}"
0.8153846153846154,0.5,0.7222222222222222,0.2774852192964283,1.0,0.0,bcr,uc_vs_control,4,18,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.923076923076923,0.823076923076923,0.8333333333333334,0.13143106776719188,0.8461538461538461,0.8,bcr,uc_vs_control,5,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.7428571428571429,0.6,0.7894736842105263,0.21454611741392585,1.0,0.2,bcr,uc_vs_control,6,19,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.8214285714285714,0.5,0.7777777777777778,0.22166734961072018,1.0,0.0,bcr,uc_vs_control,7,18,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.9384615384615385,0.6,0.7777777777777778,0.22607133314928365,1.0,0.2,bcr,uc_vs_control,8,18,"{""clf__C"": 10, ""select__percentile"": 100}"
0.7076923076923077,0.5,0.7222222222222222,0.27767643302758904,1.0,0.0,bcr,uc_vs_control,9,18,"{""clf__C"": 10, ""select__percentile"": 100}"
0.6538461538461539,0.5615384615384615,0.7222222222222222,0.276204729714314,0.9230769230769231,0.2,bcr,uc_vs_control,10,18,"{""clf__C"": 10, ""select__percentile"": 100}"
0.5,0.5,0.7368421052631579,0.2631578947350762,1.0,0.0,bcr,uc_vs_control,11,19,"{""clf__C"": 10, ""select__percentile"": 100}"
0.9821428571428572,0.625,0.8333333333333334,0.17073435829707098,1.0,0.25,bcr,uc_vs_control,12,18,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.9384615384615385,0.5,0.7222222222222222,0.2776399582907827,1.0,0.0,bcr,uc_vs_control,13,18,"{""clf__C"": 10, ""select__percentile"": 100}"
0.9230769230769231,0.5,0.7222222222222222,0.2777772632404915,1.0,0.0,bcr,uc_vs_control,14,18,"{""clf__C"": 10, ""select__percentile"": 100}"
